Bayraktar,401,779435,1.00
Messing,812,608919,0.92
Gils,602,420351,0.30
Salice,224,64985,0.76
Oshisanwo,337,195613,0.53
Lovell,939,414895,0.06
Kirkerud,573,600608,0.43
Gurzi,682,267204,0.46
Krablin,812,763499,0.87
Molzberger,505,286116,0.77
Wyckoff,401,750008,0.70
Kakuda,216,223227,0.62
Yeom,580,575598,0.94
Pollacia,304,506794,0.35
Cochran,939,757769,0.30
Priebe,208,513585,0.18
Thisen,252,860161,0.38
Byron,702,487304,0.57
Coupe,918,784956,0.27
Rapicault,405,394601,0.97
Gopi,308,944692,0.93
Brookman,541,483100,0.09
Murli,906,522145,0.82
Salvesen,412,638604,0.21
Coates,860,836499,0.88
Streng,480,295869,0.12
Purvy,615,734918,0.18
Grunberger,907,966683,0.08
Ingemarson,804,160538,0.74
Raper,352,923654,0.63
Kossowski,715,342334,0.39
Radecki,785,61069,0.02
Brinkschulte,407,840191,0.95
Colnaric,864,653372,0.25
Mastrobuoni,954,799737,0.55
Kirkwood,401,78138,0.39
Nierstrasz,509,446371,0.60
Matheson,812,398925,0.60
Minshall,641,29570,0.18
Vorch,614,422973,0.04
Formella,802,32927,0.62
Wika,224,646785,0.44
Maxemchuk,312,380386,0.01
Holand,302,153697,0.57
Thomson,641,473904,0.32
Lageweg,775,512245,0.99
Massonet,603,218200,0.80
Normark,603,674297,0.11
Reese,769,686727,0.35
Daul,501,674891,0.60
Wendel,870,275515,0.19
Cin,307,181723,0.08
Durst,307,737079,0.65
McClure,937,646566,0.58
Hoang,913,311541,0.32
Feldmann,580,337838,0.47
Luce,208,243844,0.20
Hobby,603,668057,0.41
Guski,302,600677,0.15
Wadey,401,724200,0.85
Vinay,775,391308,0.41
Sigal,201,11048,0.67
Inza,308,220248,0.74
Naudin,225,450204,0.84
Moumoutzis,801,991581,1.00
Banachowski,985,452207,0.84
Fadgyas,434,902763,0.41
Broker,580,72376,0.62
Hylton,907,895259,0.62
Abelha,956,887399,0.31
Paterakis,908,885513,0.59
Tyszer,808,773844,0.89
Biryukow,520,728468,0.89
Friman,307,250255,0.17
ORiordan,251,585796,0.52
Tillich,616,482414,0.62
Schwabacher,202,271083,0.88
Mukouchi,603,471024,0.27
Simplot,401,353691,0.04
Hilliard,701,532731,0.47
Bandat,304,443749,0.26
Gopalakrishnan,769,280001,0.67
Jouvelot,202,89105,1.00
Handelman,864,632799,0.92
Plotkin,208,383963,0.92
Janusz,928,616754,0.62
Elustondo,952,385132,0.17
Lukanowicz,347,290693,0.67
Lorch,703,859652,0.95
Geldenhuys,808,116237,0.25
Schleiermacher,914,812185,0.65
Rehn,702,586833,0.88
Gentleman,410,229990,0.23
Oostrum,401,761407,0.27
Seyfer,234,714851,0.39
Camarinopoulos,859,738810,0.75
Paddon,410,466529,0.30
Rimmer,907,688956,0.83
Gohara,516,564115,0.89
Gras,435,665789,0.64
Gruenwald,423,359713,0.71
Mandviwalla,251,317705,0.24
Zaiane,907,659439,0.88
Biso,870,341365,0.92
Smaragdakis,208,297638,0.77
Lust,401,893339,0.12
Gilmore,480,268826,0.38
Reiprich,203,393422,0.00
Vincente,769,516858,0.50
Lukassen,616,537509,0.65
Putfarken,252,168845,0.22
Kilgore,225,459616,0.19
Lenart,701,729975,0.60
Grau,978,484409,0.37
Baak,907,23737,0.71
Chinin,630,552993,0.76
Yamagchi,308,8698,0.02
Reich,434,782860,0.13
Tomii,612,744514,0.65
Salmon,956,23418,0.29
Tomov,202,29231,0.55
Swick,979,486564,0.03
Kindlmann,419,315680,0.36
Seegmuller,603,897475,0.79
Baxter,202,509890,0.09
Christmansson,435,12822,0.22
Popa,308,96987,0.49
Gutz,212,914707,0.94
Dagtas,307,381992,0.42
Kavvadias,678,865584,0.41
Varker,970,637419,0.00
Gjerlov,406,169015,0.10
Oettinger,401,868048,0.79
Etzl,646,924030,0.12
Horndasch,551,707059,0.30
Dniestrowski,435,755979,0.26
Verhaegen,606,678514,0.98
Zincke,253,391921,0.57
Bodagala,720,429536,0.50
Kell,603,596142,0.74
Normand,208,668922,0.81
Wahls,971,120290,0.81
Latch,605,528363,0.03
Schwiegelshohn,907,635287,0.60
Aronsson,713,646937,0.80
Smotrovs,352,751612,0.79
Bly,972,170480,0.66
Sobalvarro,337,439181,0.87
Viguier,913,164016,0.16
Parter,207,711488,0.57
Xianchang,414,374962,0.23
Grahn,973,161404,0.09
Calvin,501,398882,0.49
Aybay,843,322282,0.07
Strausfeld,940,224948,0.58
Ebrahimi,251,79019,0.44
Ullman,603,135357,1.00
Campagnoni,814,146874,0.29
Wallgren,769,579389,0.48
Dusse,203,316178,0.41
Schewe,304,820876,0.89
Koepf,443,227158,0.18
Wettschereck,605,515568,0.73
Zaguia,614,538512,0.61
Pietrzak,520,932037,0.15
Pargas,862,239123,0.79
Ducloy,207,630734,0.24
Samaddar,562,792066,0.19
Mutschke,860,363538,0.11
Pietra,319,585243,0.79
Schell,727,812562,0.72
Campr,769,427000,0.89
Yurov,937,340295,0.61
Rahmeh,951,76913,0.14
Bugaenko,321,872112,0.65
Barriere,301,785354,0.57
Holtman,952,61095,0.52
Varsek,701,851800,0.25
Halici,808,611186,0.42
Kunkdelmann,787,123663,0.92
Shneerson,203,463386,0.47
Iisaka,865,299033,0.27
Bern,970,828472,0.52
Belzer,405,337525,0.61
Bridges,830,4151,1.00
Heikes,702,235948,0.45
Sekine,978,460818,0.49
Gerace,505,501299,0.95
Duong,701,891890,0.52
Jakobovits,509,783415,0.07
Nagasamy,775,433348,0.10
Radecka,406,972451,0.71
Rebaine,719,577323,0.60
Jahnichen,808,611706,0.19
Dymetman,610,184862,0.29
Cornero,202,337206,0.96
Jeffrey,719,232411,0.21
Millo,303,785428,0.30
Toyoshima,305,111806,0.46
Macnee,660,210696,0.06
Parris,971,658532,0.10
Lauterbach,513,604455,0.64
Caulk,605,365164,0.63
Rochowiak,205,42777,0.34
